id,pref,name,muni,category,group
01001,北海道,礼文島,礼文町,離島振興法,礼文島
01002,北海道,利尻島,利尻町・利尻富士町,離島振興法,利尻島
01003,北海道,焼尻島,羽幌町,離島振興法,天売・焼尻
01004,北海道,天売島,羽幌町,離島振興法,天売・焼尻
01005,北海道,奥尻島,奥尻町,離島振興法,奥尻島
01006,北海道,小島,厚岸町,離島振興法,小島
04001,宮城県,江島,女川町,離島振興法,牡鹿諸島
04002,宮城県,網地島,石巻市,離島振興法,牡鹿諸島
04003,宮城県,田代島,石巻市,離島振興法,牡鹿諸島
04004,宮城県,寒風沢島,塩竈市,離島振興法,浦戸諸島
04005,宮城県,野々島,塩竈市,離島振興法,浦戸諸島
04006,宮城県,桂島,塩竈市,離島振興法,浦戸諸島
04007,宮城県,朴島,塩竈市,離島振興法,浦戸諸島
04008,宮城県,大島,気仙沼市,法対象外,気仙沼市
04009,宮城県,出島,女川町,法対象外,女川町
04010,宮城県,金華山,石巻市,法対象外,石巻市
04011,宮城県,宮戸島,東松島市,法対象外,東松島市
06001,山形県,飛島,酒田市,離島振興法,飛島
12001,千葉県,仁右衛門島,鴨川市,法対象外,鴨川市
13001,東京都,大島,大島町,離島振興法,伊豆諸島
13002,東京都,利島,利島村,離島振興法,伊豆諸島
13003,東京都,新島,新島村,離島振興法,伊豆諸島
13004,東京都,式根島,新島村,離島振興法,伊豆諸島
13005,東京都,神津島,神津島村,離島振興法,伊豆諸島
13006,東京都,三宅島,三宅村,離島振興法,伊豆諸島
13007,東京都,御蔵島,御蔵島村,離島振興法,伊豆諸島
13008,東京都,八丈島,八丈町,離島振興法,伊豆諸島
13009,東京都,青ヶ島,青ケ島村,離島振興法,伊豆諸島
13010,東京都,父島,小笠原村,小笠原諸島振興開発特別措置法,小笠原諸島
13011,東京都,母島,小笠原村,小笠原諸島振興開発特別措置法,小笠原諸島
13012,東京都,硫黄島,小笠原村,小笠原諸島振興開発特別措置法,小笠原諸島
13013,東京都,南鳥島,小笠原村,小笠原諸島振興開発特別措置法,小笠原諸島
14001,神奈川県,城ヶ島,三浦市,法対象外,三浦市
14002,神奈川県,江の島,藤沢市,法対象外,藤沢市
14003,神奈川県,天神島,横須賀市,法対象外,横須賀市
15001,新潟県,粟島,粟島浦村,離島振興法,粟島
15002,新潟県,佐渡島,佐渡市,離島振興法,佐渡島
17001,石川県,舳倉島,輪島市,離島振興法,舳倉島
17002,石川県,能登島,七尾市,法対象外,七尾市
22001,静岡県,初島,熱海市,離島振興法,初島
23001,愛知県,佐久島,西尾市,離島振興法,愛知三島
23002,愛知県,日間賀島,南知多町,離島振興法,愛知三島
23003,愛知県,篠島,南知多町,離島振興法,愛知三島
24001,三重県,神島,鳥羽市,離島振興法,志摩諸島
24002,三重県,答志島,鳥羽市,離島振興法,志摩諸島
